,(GMM) Gross Monthly Mean,(GMM) Gross Monthly Mean,(GMM) Gross Monthly Mean,(GMM) Gross Monthly Mean,(GMM) Gross Monthly Mean,(OER) Overall Employment Rate,(OER) Overall Employment Rate,(OER) Overall Employment Rate,(OER) Overall Employment Rate,(OER) Overall Employment Rate,(PFTER) Permanent Full Time Employment Rate,(PFTER) Permanent Full Time Employment Rate,(PFTER) Permanent Full Time Employment Rate,(PFTER) Permanent Full Time Employment Rate,(PFTER) Permanent Full Time Employment Rate
,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max
university,,,,,,,,,,,,,,,
Nanyang Technological University,3648.0552486187844,3509.0,600.6573243671187,2577.0,6749.0,89.80552486187845,90.9,7.1111026589197746,66.7,100.0,78.97651933701657,80.0,14.121782394228072,35.7,100.0
National University of Singapore,3910.18156424581,3709.5,774.5679797005416,2100.0,7139.0,92.08603351955308,93.3,6.213919985798802,66.7,100.0,82.60335195530726,87.0,15.811683796333021,14.3,100.0
Singapore Institute of Technology,3531.2673515055353,3479.0,551.3731209945126,2344.0,5678.963095,92.3309963099631,93.7,6.807196527150188,67.9,100.0,81.80627306273063,85.5,14.51161722817317,35.3,100.0
Singapore Management University,4340.3,4170.5,713.0099484261224,3150.0,6429.0,94.83666666666666,95.1,3.4648761805840493,84.2,100.0,89.51916666666666,91.1,7.566803837032064,52.8,100.0
Singapore University of Social Sciences,3461.8333333333335,3402.0,457.9805057839919,2879.0,4540.0,93.13333333333334,93.25,4.320147932758733,84.4,100.0,76.57333333333332,82.5,17.421705315265616,22.6,97.5
Singapore University of Technology and Design,4205.620689655172,4042.0,493.11744571748415,3565.0,5725.0,92.84482758620689,92.5,4.99360921628096,80.3,100.0,87.5,87.3,5.977636895725836,71.8,100.0
